state,city
Maharashtra,Achalpur
Uttar Pradesh,Achhnera
Gujarat,Adalaj
Telangana,Adilabad
Jharkhand,Adityapur
Andhra Pradesh,Adoni
Kerala,Adoor
Karnataka,Adyar
West Bengal,Adra
Karnataka,Afzalpur
Tripura,Agartala
Uttar Pradesh,Agra
Gujarat,Ahmedabad
Maharashtra,Ahmednagar
Mizoram,Aizawl
Rajasthan,Ajmer
Maharashtra,Akola
Maharashtra,Akot
Kerala,Alappuzha
Uttar Pradesh,Aligarh
West Bengal,Alipurduar
Madhya Pradesh,Alirajpur
Uttar Pradesh,Allahabad
Rajasthan,Alwar
Andhra Pradesh,Amalapuram
Maharashtra,Amalner
Maharashtra,Ambejogai
Chhattisgarh,Ambikapur
Maharashtra,Amravati
Gujarat,Amreli
Punjab,Amritsar
Uttar Pradesh,Amroha
Andhra Pradesh,Anakapalle
Gujarat,Anand
Andhra Pradesh,Anantapur
Jammu and Kashmir,Anantnag
Gujarat,Anjar
Maharashtra,Anjangaon
Gujarat,Ankleshwar
Tamil Nadu,Arakkonam
Bihar,Araria
West Bengal,Arambagh
Karnataka,Arsikere
Bihar,Arrah
Tamil Nadu,Aruppukkottai
Maharashtra,Arvi
Bihar,Arwal
West Bengal,Asansol
Bihar,Asarganj
Madhya Pradesh,Ashok Nagar
Karnataka,Athni
Kerala,Attingal
Maharashtra,Aurangabad
Bihar,Aurangabad
Uttar Pradesh,Azamgarh
Rajasthan,Bikaner
Maharashtra,Bhiwandi
Bihar,Bagaha
Uttarakhand,Bageshwar
Haryana,Bahadurgarh
West Bengal,Baharampur
Uttar Pradesh,Bahraich
Madhya Pradesh,Balaghat
Odisha,Balangir
Odisha,Baleshwar Town
Karnataka,Bengaluru
West Bengal,Bankura
Andhra Pradesh,Bapatla
Jammu and Kashmir,Baramula
Odisha,Barbil
Odisha,Bargarh
Bihar,Barh
Odisha,Baripada Town
Punjab,Barnala
Assam,Barpeta
Punjab,Batala
Punjab,Bathinda
Bihar,Begusarai
Karnataka,Belagavi
Telangana,Bellampalle
Karnataka,Ballari
Tripura,Belonia
Bihar,Bettiah
Bihar,Bhabua
Telangana,Bhadrachalam
Odisha,Bhadrak
Bihar,Bhagalpur
Telangana,Bhainsa
Gujarat,Bharuch
Chhattisgarh,Bhatapara
Gujarat,Bhavnagar
Odisha,Bhawanipatna
Andhra Pradesh,Bheemunipatnam
Chhattisgarh,Bhilai Nagar
Rajasthan,Bhilwara
Andhra Pradesh,Bhimavaram
Haryana,Bhiwani
Telangana,Bhongir
Madhya Pradesh,Bhopal
Odisha,Bhubaneswar
Gujarat,Bhuj
Chhattisgarh,Bilaspur
Andhra Pradesh,Bobbili
Telangana,Bodhan
Jharkhand,Bokaro Steel City
Assam,Bongaigaon City
Odisha,Brahmapur
Bihar,Buxar
Odisha,Byasanagar
Uttar Pradesh,Chandausi
Jharkhand,Chaibasa
Chandigarh,Chandigarh
Haryana,Charkhi Dadri
Jharkhand,Chatra
Kerala,Chalakudy
Kerala,Changanassery
Tamil Nadu,Chennai
Kerala,Cherthala
Karnataka,Chikkamagaluru
Gujarat,Chhapra
Andhra Pradesh,Chilakaluripet
Andhra Pradesh,Chirala
Jharkhand,Chirkunda
Chhattisgarh,Chirmiri
Kerala,Chittur-Thathamangalam
Andhra Pradesh,Chittoor
Tamil Nadu,Coimbatore
Odisha,Cuttack
Chhattisgarh,Dalli-Rajhara
Jharkhand,Medininagar (Daltonganj)
Bihar,Darbhanga
West Bengal,Darjiling
Karnataka,Davanagere
Gujarat,Deesa
Uttarakhand,Dehradun
Bihar,Dehri-on-Sone
Delhi,Delhi
Jharkhand,Deoghar
Chhattisgarh,Dhamtari
Jharkhand,Dhanbad
Tripura,Dharmanagar
Andhra Pradesh,Dharmavaram
Odisha,Dhenkanal
Gujarat,Dhoraji
Assam,Dhubri
Maharashtra,Dhule
Punjab,Dhuri
Assam,Dibrugarh
Nagaland,Dimapur
Assam,Diphu
Maharashtra,Kalyan-Dombivali
Jharkhand,Dumka
Bihar,Dumraon
Chhattisgarh,Durg
Andhra Pradesh,Eluru
Tamil Nadu,Erode
West Bengal,English Bazar
Uttar Pradesh,Etawah
Haryana,Faridabad
Punjab,Faridkot
Uttar Pradesh,Firozabad
Telangana,Farooqnagar
Haryana,Fatehabad
Punjab,Fazilka
Bihar,Forbesganj
Punjab,Firozpur
Punjab,Firozpur Cantt.
Uttar Pradesh,Fatehpur Sikri
Telangana,Gadwal
Madhya Pradesh,Ganjbasoda
Bihar,Gaya
Jharkhand,Giridih
Assam,Goalpara
Tamil Nadu,Gobichettipalayam
Punjab,Gobindgarh
Gujarat,Godhra
Haryana,Gohana
Karnataka,Gokak
Andhra Pradesh,Gooty
Bihar,Gopalganj
Andhra Pradesh,Gudivada
Andhra Pradesh,Gudur
Jharkhand,Gumia
Andhra Pradesh,Guntakal
Andhra Pradesh,Guntur
Punjab,Gurdaspur
Haryana,Gurgaon
Kerala,Guruvayoor
Assam,Guwahati
Madhya Pradesh,Gwalior
West Bengal,Habra
Bihar,Hajipur
Uttarakhand,Haldwani
Haryana,Hansi
Uttar Pradesh,Hapur
Uttarakhand,Hardwar
Jharkhand,Hazaribag
Andhra Pradesh,Hindupur
Haryana,Hisar
Punjab,Hoshiarpur
Karnataka,Hubli-Dharwad
West Bengal,Hugli-Chinsurah
Telangana,Hyderabad
Maharashtra,Ichalkaranji
Manipur,Imphal
Madhya Pradesh,Indore
Madhya Pradesh,Itarsi
Madhya Pradesh,Jabalpur
Chhattisgarh,Jagdalpur
Andhra Pradesh,Jaggaiahpet
Punjab,Jagraon
Telangana,Jagtial
Rajasthan,Jaipur
Punjab,Jalandhar Cantt.
Punjab,Jalandhar
West Bengal,Jalpaiguri
Bihar,Jamalpur
Andhra Pradesh,Jammalamadugu
Jammu and Kashmir,Jammu
Gujarat,Jamnagar
Jharkhand,Jamshedpur
Bihar,Jamui
Telangana,Jangaon
Odisha,Jatani
Bihar,Jehanabad
Uttar Pradesh,Jhansi
West Bengal,Jhargram
Odisha,Jharsuguda
Jharkhand,Jhumri Tilaiya
Haryana,Jind
Assam,Jorhat
Rajasthan,Jodhpur
Andhra Pradesh,Kadapa
Gujarat,Kadi
Andhra Pradesh,Kadiri
Telangana,Kagaznagar
Tripura,Kailasahar
Haryana,Kaithal
Andhra Pradesh,Kakinada
Uttar Pradesh,Kalpi
Telangana,Kamareddy
Tamil Nadu,Kancheepuram
Andhra Pradesh,Kandukur
Kerala,Kanhangad
Kerala,Kannur
Uttar Pradesh,Kanpur
Gujarat,Kapadvanj
Punjab,Kapurthala
Puducherry,Karaikal
Assam,Karimganj
Telangana,Karimnagar
Maharashtra,Karjat
Haryana,Karnal
Tamil Nadu,Karur
Karnataka,Karwar
Kerala,Kasaragod
Uttarakhand,Kashipur
Jammu and Kashmir,Kathua
Bihar,Katihar
Andhra Pradesh,Kavali
Kerala,Kayamkulam
Odisha,Kendrapara
Odisha,Kendujhar
Gujarat,Keshod
Uttar Pradesh,Khair
Gujarat,Khambhat
Telangana,Khammam
Punjab,Khanna
West Bengal,Kharagpur
Punjab,Kharar
Tripura,Khowai
Bihar,Kishanganj
Kerala,Kochi
Kerala,Kodungallur
Nagaland,Kohima
Karnataka,Kolar
West Bengal,Kolkata
Kerala,Kollam
Chhattisgarh,Korba
Telangana,Koratla
Punjab,Kot Kapura
Telangana,Kothagudem
Kerala,Kottayam
Andhra Pradesh,Kovvur
Kerala,Kozhikode
Kerala,Kunnamkulam
Andhra Pradesh,Kurnool
Telangana,Kyathampalle
Rajasthan,Lachhmangarh
Rajasthan,Ladnu
Haryana,Ladwa
Madhya Pradesh,Lahar
Uttar Pradesh,Laharpur
Rajasthan,Lakheri
Uttar Pradesh,Lakhimpur
Bihar,Lakhisarai
Karnataka,Lakshmeshwar
